positive_score,negative_score,objective_score,word_count,adj_count,verb_count,noun_count,adv_count
0.042,0.095,0.72,21,4,5,10,2
0.084,0.119,0.672,40,7,13,10,10
0.144,0.1,0.656,20,3,3,11,3
0.004,0.021,0.142,30,1,1,28,0
0.094,0.044,0.688,253,31,66,121,35
0.057,0.026,0.509,125,15,21,77,12
0.078,0.046,0.725,561,74,205,220,62
0.09,0.067,0.778,185,35,44,86,20
0.049,0.06,0.674,23,3,7,10,3
0.066,0.042,0.787,95,10,37,32,16
0.08,0.056,0.779,47,6,15,19,7
0.004,0.021,0.142,30,1,1,28,0
0.051,0.077,0.729,42,4,14,17,7
0.069,0.037,0.794,20,3,5,7,5
0.094,0.05,0.681,40,4,17,15,4
0.061,0.069,0.543,107,14,29,56,8
0.004,0.021,0.142,30,1,1,28,0
0.049,0.022,0.234,23,3,5,15,0
0.062,0.067,0.755,26,5,10,9,2
0.052,0.047,0.774,87,12,22,36,17
0.132,0.065,0.721,158,25,53,55,25
0.082,0.056,0.69,81,8,28,30,15
0.083,0.052,0.708,191,24,68,66,33
0.086,0.07,0.719,16,0,7,7,2
0.066,0.097,0.743,53,7,19,23,4
0.096,0.053,0.778,68,8,23,30,7
0.079,0.041,0.772,74,9,28,26,11
0.055,0.026,0.649,52,6,15,26,5
0.121,0.129,0.583,30,7,5,15,3
0.081,0.044,0.816,17,2,4,10,1
0.079,0.054,0.807,85,17,22,33,13
0.062,0.116,0.679,28,0,8,14,6
0.052,0.069,0.707,29,4,8,12,5
0.047,0.051,0.82,61,11,16,26,8
0.037,0.14,0.567,622,4,2,616,0
0.006,0.0,0.26,60,6,4,50,0
0.084,0.048,0.705,86,14,28,31,13
0.011,0.004,0.279,34,2,5,24,3
0.078,0.065,0.632,107,16,30,48,13
0.033,0.016,0.603,23,1,10,10,2
0.098,0.069,0.676,217,44,57,80,36
0.058,0.029,0.58,39,4,13,17,5
0.022,0.018,0.195,34,4,1,29,0
0.031,0.026,0.61,93,6,11,71,5
0.078,0.052,0.73,93,17,31,40,5
0.066,0.052,0.743,36,4,15,17,0
0.079,0.089,0.746,35,6,12,11,6
0.008,0.013,0.279,30,2,2,25,1
0.045,0.052,0.569,36,7,12,14,3
0.004,0.022,0.147,29,2,1,26,0
0.089,0.089,0.737,190,36,55,73,26
0.1,0.071,0.696,30,4,9,13,4
0.093,0.032,0.647,79,15,21,33,10
0.066,0.045,0.748,128,16,39,57,16
0.111,0.042,0.569,54,9,15,24,6
0.072,0.087,0.706,171,21,57,68,25
0.098,0.067,0.739,124,8,57,41,18
0.073,0.062,0.698,24,0,11,8,5
0.069,0.069,0.639,45,8,12,21,4
0.065,0.079,0.738,161,22,51,67,21
0.082,0.047,0.642,376,59,95,160,62
0.054,0.045,0.71,636,80,143,359,54
0.125,0.035,0.618,18,3,6,5,4
0.087,0.026,0.631,39,6,9,21,3
0.079,0.051,0.802,294,35,108,115,36
0.064,0.041,0.733,37,5,15,12,5
0.108,0.164,0.698,67,7,23,26,11
0.129,0.045,0.705,33,6,5,18,4
0.058,0.076,0.83,28,7,9,8,4
0.061,0.064,0.798,287,14,126,115,32
0.0,0.0,0.0,37,1,0,36,0
0.083,0.03,0.649,21,1,6,14,0
0.073,0.042,0.703,198,30,79,71,18
0.118,0.061,0.732,57,6,19,21,11
0.074,0.078,0.705,174,31,61,51,31
0.019,0.079,0.425,469,15,30,423,1
0.085,0.077,0.71,31,2,11,11,7
0.083,0.071,0.512,21,8,4,7,2
0.058,0.087,0.702,26,2,6,12,6
0.096,0.048,0.678,73,11,28,29,5
0.043,0.09,0.711,32,11,6,11,4
0.072,0.046,0.747,287,31,105,108,43
0.025,0.05,0.825,20,1,8,9,2
0.025,0.013,0.863,30,2,11,10,7
0.056,0.027,0.556,175,18,43,107,7
0.079,0.06,0.753,92,13,35,29,15
0.066,0.046,0.749,815,119,271,334,91
0.058,0.07,0.552,50,2,6,42,0
0.057,0.034,0.758,33,3,10,18,2
0.003,0.017,0.25,37,2,3,32,0
0.082,0.039,0.74,208,30,74,74,30
0.087,0.037,0.825,60,4,23,21,12
0.078,0.032,0.753,87,9,24,43,11
0.0,0.019,0.34,39,3,6,26,4
0.075,0.08,0.685,25,6,7,10,2
0.072,0.051,0.622,271,47,68,125,31
0.077,0.049,0.806,89,8,34,35,12
0.052,0.122,0.733,43,9,9,21,4
0.078,0.064,0.741,43,9,13,13,8
0.071,0.067,0.691,141,17,42,56,26
0.091,0.061,0.711,51,7,18,18,8
0.062,0.069,0.812,18,2,7,6,3
0.057,0.047,0.549,72,6,14,42,10
0.054,0.038,0.777,23,3,9,6,5
0.091,0.149,0.644,26,4,7,9,6
0.048,0.034,0.572,26,3,8,12,3
0.036,0.014,0.414,588,56,87,424,21
0.07,0.036,0.751,91,10,26,46,9
0.065,0.038,0.667,955,133,301,378,143
0.065,0.03,0.81,21,2,4,12,3
0.079,0.052,0.712,134,18,43,51,22
0.046,0.03,0.714,38,3,16,19,0
0.047,0.0,0.703,16,0,6,8,2
0.03,0.044,0.701,709,60,186,411,52
0.04,0.02,0.714,31,1,8,18,4
0.071,0.058,0.709,198,22,72,79,25
0.063,0.064,0.736,167,25,57,62,23
0.066,0.035,0.761,266,29,81,136,20
0.076,0.07,0.713,220,28,76,71,45
0.017,0.062,0.716,44,3,16,20,5
0.095,0.073,0.768,62,8,23,25,6
0.057,0.039,0.654,48,4,15,21,8
0.113,0.052,0.738,31,7,9,11,4
0.004,0.021,0.142,30,1,1,28,0
0.07,0.054,0.729,142,13,50,69,10
0.078,0.052,0.635,349,45,99,153,52
0.032,0.035,0.794,43,7,12,15,9
0.06,0.065,0.764,27,3,10,11,3
0.062,0.047,0.741,40,4,9,15,12
0.1,0.068,0.708,137,21,40,52,24
0.085,0.081,0.688,103,15,33,36,19
0.039,0.02,0.66,32,1,11,14,6
0.097,0.023,0.731,27,1,13,9,4
0.086,0.052,0.793,29,2,13,10,4
0.052,0.051,0.758,238,26,87,86,39
0.064,0.039,0.711,264,36,92,105,31
0.06,0.081,0.785,54,9,15,24,6
0.079,0.056,0.733,753,95,234,333,91
0.073,0.046,0.568,150,20,43,72,15
0.093,0.086,0.698,81,13,35,23,10
0.031,0.044,0.625,20,1,9,10,0
0.065,0.054,0.75,23,2,9,8,4
0.04,0.052,0.656,199,21,71,86,21
0.102,0.062,0.707,70,11,24,29,6
0.04,0.012,0.786,31,1,11,13,6
0.081,0.058,0.699,192,41,57,79,15
0.104,0.045,0.615,72,8,22,32,10
0.072,0.031,0.763,135,10,43,63,19
0.055,0.04,0.65,59,3,16,28,12
0.043,0.024,0.316,47,2,4,39,2
0.062,0.04,0.76,65,11,25,25,4
0.093,0.065,0.756,58,6,26,16,10
0.092,0.047,0.692,160,24,32,79,25
0.181,0.093,0.597,31,6,6,14,5
0.093,0.016,0.601,31,4,13,9,5
0.075,0.057,0.723,526,64,155,237,70
0.086,0.058,0.713,181,21,62,65,33
0.082,0.072,0.654,26,5,7,8,6
0.031,0.017,0.708,45,5,11,23,6
0.081,0.077,0.649,31,4,10,13,4
0.044,0.049,0.707,385,54,99,199,33
0.076,0.06,0.677,48,8,14,23,3
0.045,0.016,0.392,86,5,17,61,3
0.023,0.045,0.752,295,55,57,166,17
0.09,0.061,0.757,173,27,60,63,23
0.086,0.068,0.662,441,66,145,173,57
0.004,0.021,0.142,30,1,1,28,0
0.101,0.068,0.705,87,13,24,34,16
0.097,0.046,0.717,642,81,219,269,73
0.068,0.095,0.807,33,8,11,12,2
0.109,0.047,0.697,109,19,36,42,12
0.078,0.044,0.747,496,64,178,191,63
0.081,0.037,0.774,37,5,10,16,6
0.07,0.15,0.66,25,3,8,12,2
0.074,0.085,0.659,44,12,7,17,8
0.062,0.08,0.719,101,13,33,44,11
0.052,0.058,0.683,58,10,17,28,3
0.071,0.103,0.652,23,4,6,7,6
0.069,0.068,0.63,103,14,33,38,18
0.004,0.031,0.304,56,7,4,42,3
0.071,0.091,0.702,660,91,177,358,34
0.057,0.062,0.734,48,8,20,15,5
0.063,0.058,0.58,97,11,25,51,10
0.074,0.054,0.769,39,2,22,12,3
0.107,0.038,0.696,63,9,25,15,14
0.06,0.05,0.748,544,62,171,224,87
0.063,0.059,0.776,748,121,214,332,81
0.035,0.051,0.63,74,10,22,35,7
0.028,0.114,0.767,22,5,4,11,2
0.142,0.058,0.667,15,2,3,7,3
0.125,0.042,0.5,84,0,28,28,28
0.042,0.031,0.455,36,2,11,21,2
0.101,0.07,0.699,131,23,43,46,19
0.064,0.015,0.615,49,3,13,27,6
0.071,0.05,0.701,118,12,42,47,17
0.036,0.003,0.724,38,5,9,19,5
0.078,0.022,0.767,45,3,18,14,10
0.086,0.048,0.732,223,23,71,101,28
0.028,0.097,0.625,40,3,14,18,5
0.075,0.081,0.644,40,6,12,17,5
0.117,0.025,0.825,30,5,9,9,7
0.028,0.0,0.194,27,3,2,22,0
0.051,0.058,0.77,249,15,109,103,22
0.036,0.057,0.615,24,4,8,9,3
0.081,0.033,0.686,45,3,16,20,6
0.071,0.051,0.725,177,25,56,85,11
0.094,0.031,0.625,24,2,8,9,5
0.053,0.065,0.758,89,15,23,45,6
0.082,0.045,0.642,199,31,58,90,20
0.042,0.051,0.685,27,4,7,12,4
0.067,0.041,0.616,323,50,98,147,28
0.067,0.056,0.717,388,49,111,176,52
0.063,0.062,0.683,375,49,97,162,67
0.077,0.044,0.682,122,14,37,55,16
0.048,0.032,0.72,55,6,16,28,5
0.086,0.039,0.718,108,15,38,45,10
0.011,0.019,0.212,33,2,3,27,1
0.064,0.066,0.766,183,26,58,61,38
0.018,0.023,0.316,70,4,13,51,2
0.073,0.049,0.773,48,7,16,22,3
0.055,0.052,0.59,43,9,8,21,5
0.068,0.044,0.726,37,2,12,18,5
0.018,0.071,0.804,28,8,9,10,1
0.045,0.034,0.875,22,1,9,9,3
0.106,0.074,0.671,27,3,9,12,3
0.034,0.038,0.586,73,10,19,32,12
0.099,0.005,0.562,24,3,7,12,2
0.004,0.021,0.142,30,1,1,28,0
0.014,0.009,0.755,27,1,11,13,2
0.062,0.072,0.673,26,2,12,9,3
0.079,0.026,0.859,112,8,46,42,16
0.06,0.015,0.685,25,3,11,8,3
0.045,0.051,0.826,64,7,18,30,9
0.064,0.051,0.652,120,16,34,53,17
0.084,0.052,0.608,43,4,16,20,3
0.054,0.042,0.619,21,2,8,9,2
0.071,0.103,0.719,28,4,9,11,4
0.004,0.021,0.142,30,1,1,28,0
0.063,0.048,0.681,111,16,28,56,11
0.06,0.044,0.689,498,48,136,258,56
0.011,0.011,0.63,23,4,2,16,1
0.103,0.077,0.724,52,7,15,26,4
0.006,0.0,0.11,60,7,5,47,1
0.079,0.078,0.694,74,14,18,32,10
0.072,0.072,0.621,1021,130,284,498,109
0.049,0.038,0.744,59,11,20,23,5
0.089,0.033,0.719,101,11,27,43,20
0.04,0.005,0.715,25,4,6,13,2
0.058,0.029,0.779,186,31,43,103,9
0.071,0.059,0.741,179,21,58,74,26
0.117,0.034,0.758,66,13,19,22,12
0.025,0.01,0.485,25,1,7,16,1
0.079,0.064,0.723,82,13,21,33,15
0.069,0.09,0.767,67,11,23,23,10
0.085,0.04,0.715,25,4,8,11,2
0.071,0.058,0.722,67,9,18,37,3
0.058,0.058,0.654,26,7,5,12,2
0.077,0.067,0.749,381,77,95,187,22
0.093,0.085,0.629,31,9,8,13,1
0.042,0.021,0.616,53,5,18,22,8
0.066,0.059,0.463,17,2,9,5,1
0.087,0.076,0.663,23,1,11,7,4
0.07,0.047,0.789,32,4,10,17,1
0.069,0.017,0.672,29,4,5,15,5
0.072,0.077,0.766,47,5,19,16,7
0.056,0.038,0.753,72,7,26,31,8
0.04,0.055,0.723,66,9,19,30,8
0.068,0.048,0.71,851,130,273,329,119
0.037,0.106,0.806,20,3,8,6,3
0.048,0.058,0.667,62,6,16,32,8
0.045,0.054,0.693,53,8,14,22,9
0.052,0.044,0.645,31,2,14,13,2
0.008,0.012,0.078,112,7,1,104,0
0.059,0.064,0.652,111,11,40,42,18
0.081,0.014,0.609,54,9,11,32,2
0.095,0.067,0.736,107,13,36,45,13
0.078,0.061,0.68,66,10,19,25,12
0.08,0.05,0.75,100,14,39,42,5
0.034,0.058,0.793,26,4,8,11,3
0.073,0.091,0.733,29,2,12,10,5
0.064,0.105,0.705,64,9,18,27,10
0.086,0.086,0.734,32,5,11,9,7
0.092,0.079,0.741,57,9,21,17,10
0.095,0.052,0.643,148,28,37,71,12
0.071,0.068,0.696,442,60,130,188,64
0.074,0.042,0.731,117,13,30,50,24
0.019,0.106,0.675,20,2,2,14,2
0.037,0.016,0.757,285,41,69,165,10
0.061,0.043,0.657,476,52,143,208,73
0.031,0.035,0.823,36,7,8,14,7
0.048,0.047,0.598,114,13,34,63,4
0.07,0.069,0.689,273,42,78,126,27
0.086,0.007,0.539,19,1,10,6,2
