positive_score,negative_score,objective_score,word_count,adj_count,verb_count,noun_count,adv_count
0.083,0.03,0.765,33,2,14,12,5
0.087,0.048,0.722,63,5,18,22,18
0.098,0.049,0.743,486,79,162,156,89
0.048,0.018,0.458,21,2,4,14,1
0.137,0.053,0.789,95,15,33,36,11
0.078,0.027,0.842,115,9,46,44,16
0.068,0.052,0.79,178,23,61,77,17
0.06,0.052,0.767,50,4,20,21,5
0.083,0.071,0.639,53,9,12,28,4
0.092,0.02,0.756,61,10,22,22,7
0.089,0.026,0.635,24,5,9,7,3
0.079,0.026,0.85,112,8,46,42,16
0.089,0.02,0.691,70,13,18,31,8
0.085,0.04,0.693,193,30,56,88,19
0.057,0.053,0.739,33,6,8,16,3
0.103,0.075,0.753,275,33,109,99,34
0.069,0.043,0.814,108,7,44,37,20
0.048,0.101,0.756,21,1,10,5,5
0.047,0.044,0.427,228,28,36,147,17
0.051,0.026,0.653,382,45,108,195,34
0.04,0.033,0.868,34,4,12,14,4
0.042,0.068,0.724,24,0,14,7,3
0.034,0.049,0.795,33,1,6,20,6
0.091,0.045,0.664,70,6,29,26,9
0.101,0.038,0.667,62,9,22,22,9
0.069,0.073,0.794,62,8,21,25,8
0.09,0.052,0.726,325,40,116,127,42
0.065,0.046,0.813,472,53,152,199,68
0.004,0.0,0.254,35,2,4,26,3
0.075,0.04,0.773,500,64,151,197,88
0.104,0.094,0.677,152,17,58,51,26
0.085,0.06,0.75,285,41,74,123,47
0.097,0.055,0.736,80,12,31,22,15
0.093,0.035,0.756,198,25,70,75,28
0.062,0.05,0.758,641,68,193,273,107
0.069,0.028,0.718,27,4,10,10,3
0.13,0.039,0.737,139,20,46,59,14
0.064,0.037,0.773,64,8,22,28,6
0.09,0.06,0.707,288,48,95,108,37
0.036,0.044,0.711,48,11,10,24,3
0.0,0.004,0.282,35,2,5,25,3
0.077,0.025,0.864,116,8,48,44,16
0.05,0.044,0.906,20,0,7,12,1
0.039,0.018,0.46,145,12,26,102,5
0.049,0.041,0.687,67,15,19,24,9
0.061,0.027,0.88,125,11,36,66,12
0.1,0.041,0.766,86,8,30,28,20
0.078,0.046,0.633,507,75,162,219,51
0.073,0.042,0.748,255,44,81,107,23
0.06,0.019,0.805,52,5,15,28,4
